Invoice ID,Branch,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Month,Time,Payment,COGS,Gross Margin Percentage,Gross Income,Net Profit,Rating
750-67-8428,A,Member,Female,Health and beauty,148.38,7,51.933,1090.593,01/05/2019,January,13:08,Ewallet,1021.7896,6.30880631,68.8034,16.870399999999997,9.1
226-31-3081,C,Normal,Female,Electronic accessories,88.97,5,22.2425,467.0925,03/08/2019,March,10:29,Cash,432.7324,7.35616607,34.3601,12.117600000000003,9.6
631-41-3108,A,Normal,Male,Home and lifestyle,120.02,7,42.007,882.1469999999999,03/03/2019,March,13:23,Credit card,825.5384,6.4171390939999995,56.6086,14.601600000000005,7.4
123-19-1176,A,Member,Male,Health and beauty,131.91,8,52.763999999999996,1108.0439999999999,01/27/2019,January,20:33,Ewallet,1039.7272,6.165531333,68.3168,15.552800000000005,8.4
373-73-7910,A,Normal,Male,Sports and travel,160.0,7,56.0,1176.0,02/08/2019,February,10:37,Ewallet,1102.2,6.275510204,73.8,17.799999999999997,5.3
699-14-3026,C,Normal,Male,Electronic accessories,159.08,7,55.678000000000004,1169.238,03/25/2019,March,18:30,Ewallet,1095.8336,6.27796907,73.4044,17.72639999999999,4.1
355-53-5943,A,Member,Female,Electronic accessories,142.53,6,42.75899999999999,897.939,02/25/2019,February,14:36,Ewallet,838.7776,6.58857673,59.1614,16.402400000000007,5.8
315-22-5665,C,Normal,Female,Home and lifestyle,147.25,10,73.625,1546.125,02/24/2019,February,11:38,Ewallet,1455.72,5.847198642,90.405,16.78,8.0
665-32-9167,A,Member,Female,Health and beauty,109.95,2,10.995,230.895,01/10/2019,January,17:15,Credit card,206.104,10.73691505,24.791,13.796000000000001,7.2
692-92-5582,B,Member,Female,Food and beverages,128.53,3,19.2795,404.8695,02/20/2019,February,13:27,Credit card,370.3076,8.536553136,34.5619,15.282400000000003,5.9
351-62-0822,B,Member,Female,Fashion accessories,88.17,4,17.634,370.314,02/06/2019,February,18:07,Ewallet,340.6264,8.016872167999999,29.6876,12.0536,4.5
529-56-3974,B,Member,Male,Electronic accessories,99.2,4,19.84,416.64,03/09/2019,March,17:03,Cash,383.86400000000003,7.8667434720000005,32.775999999999996,12.935999999999996,6.8
365-64-0515,A,Normal,Female,Electronic accessories,120.64,5,30.16,633.36,02/12/2019,February,10:25,Ewallet,588.5488,7.07515473,44.8112,14.6512,7.1
252-56-2699,A,Normal,Male,Food and beverages,116.88,10,58.44,1227.24,02/07/2019,February,16:48,Ewallet,1154.4496,5.931227796,72.7904,14.350400000000008,8.2
829-34-3910,A,Normal,Female,Health and beauty,145.07,10,72.535,1523.235,03/29/2019,March,19:21,Cash,1434.0944,5.852058284,89.1406,16.60560000000001,5.7
299-46-1805,B,Member,Female,Sports and travel,167.41,6,50.223,1054.683,01/15/2019,January,16:19,Cash,986.0672,6.505822128999999,68.6158,18.392799999999994,4.5
656-95-9349,A,Member,Female,Health and beauty,142.62,7,49.917,1048.257,03/11/2019,March,11:03,Credit card,981.9304,6.327322402999999,66.3266,16.409599999999998,4.6
765-26-6951,A,Normal,Male,Sports and travel,146.3,6,43.89,921.69,01/01/2019,January,10:39,Credit card,861.096,6.574227777000001,60.593999999999994,16.703999999999994,6.9
329-62-1586,A,Normal,Male,Food and beverages,128.36,3,19.254,404.334,01/21/2019,January,18:00,Credit card,369.8112,8.538188725,34.5228,15.268799999999995,8.6
319-50-3348,B,Normal,Female,Home and lifestyle,113.99,2,11.399000000000001,239.37900000000002,03/11/2019,March,15:30,Ewallet,213.8608,10.66016651,25.5182,14.1192,4.4
300-71-4605,C,Member,Male,Electronic accessories,159.73,5,39.9325,838.5825,02/25/2019,February,11:24,Ewallet,780.8716,6.881958543,57.7109,17.778400000000005,4.8
371-85-5789,B,Normal,Male,Health and beauty,161.67,3,24.2505,509.2605,03/05/2019,March,10:40,Ewallet,467.0764,8.283403091,42.1841,17.933600000000002,5.1
273-16-6619,B,Normal,Male,Home and lifestyle,106.89,2,10.689,224.46900000000002,03/15/2019,March,12:20,Credit card,200.2288,10.79890764,24.2402,13.551200000000001,4.4
636-48-8204,A,Normal,Male,Electronic accessories,108.25,5,27.0625,568.3125,02/17/2019,February,11:15,Ewallet,527.59,7.165511932,40.7225,13.659999999999997,9.9
549-59-1358,A,Member,Male,Sports and travel,162.32,3,24.348000000000003,511.30800000000005,03/02/2019,March,17:36,Ewallet,468.9744,8.279471473,42.3336,17.985599999999994,6.0
227-03-5010,A,Member,Female,Home and lifestyle,126.28,8,50.512,1060.752,03/22/2019,March,19:20,Credit card,995.1376,6.185649426,65.6144,15.102400000000003,8.5
649-29-6775,B,Normal,Male,Fashion accessories,107.21,1,5.3605,112.5705,02/08/2019,February,15:31,Cash,93.6332,16.82261338,18.9373,13.5768,6.7
189-17-4241,A,Normal,Female,Fashion accessories,161.36,2,16.136,338.856,03/10/2019,March,12:17,Credit card,304.8112,10.04698161,34.0448,17.908800000000003,7.7
145-94-9061,B,Normal,Female,Food and beverages,162.05,5,40.5125,850.7625,01/25/2019,January,19:48,Cash,792.2860000000001,6.873422371,58.4765,17.964,9.6
